names,actor,character,orig_lang,budget_x
Avatar: The Way of Water,Sam Worthington,Jake Sully,English,460.0
Avatar: The Way of Water,Zoe Saldaña,Neytiri,English,460.0
Avatar: The Way of Water,Sigourney Weaver,Kiri / Dr. Grace Augustine,English,460.0
Avatar: The Way of Water,Stephen Lang,Colonel Miles Quaritch,English,460.0
Avatar: The Way of Water,Kate Winslet,Ronal,English,460.0
Avatar: The Way of Water,Cliff Curtis,Tonowari,English,460.0
Avatar: The Way of Water,Joel David Moore,Norm Spellman,English,460.0
Avatar: The Way of Water,CCH Pounder,Mo'at,English,460.0
Avatar: The Way of Water,Edie Falco,General Frances Ardmore,English,460.0
John Wick: Chapter 4,Keanu Reeves,John Wick,English,100.0
John Wick: Chapter 4,Donnie Yen,Caine,English,100.0
John Wick: Chapter 4,Bill Skarsgård,Marquis de Gramont,English,100.0
John Wick: Chapter 4,Ian McShane,Winston,English,100.0
John Wick: Chapter 4,Laurence Fishburne,Bowery King,English,100.0
John Wick: Chapter 4,Lance Reddick,Charon,English,100.0
John Wick: Chapter 4,Clancy Brown,The Harbinger,English,100.0
John Wick: Chapter 4,Hiroyuki Sanada,Shimazu,English,100.0
John Wick: Chapter 4,Shamier Anderson,Mr Nobody,English,100.0
Puss in Boots: The Last Wish,Antonio Banderas,Puss in Boots (voice),English,90.0
Puss in Boots: The Last Wish,Salma Hayek,Kitty Softpaws (voice),English,90.0
Puss in Boots: The Last Wish,Harvey Guillén,Perrito (voice),English,90.0
Puss in Boots: The Last Wish,Wagner Moura,Wolf (voice),English,90.0
Puss in Boots: The Last Wish,Florence Pugh,Goldilocks (voice),English,90.0
Puss in Boots: The Last Wish,Olivia Colman,Mama Bear (voice),English,90.0
Puss in Boots: The Last Wish,Ray Winstone,Papa Bear (voice),English,90.0
Puss in Boots: The Last Wish,Samson Kayo,Baby Bear (voice),English,90.0
Puss in Boots: The Last Wish,John Mulaney,Jack Horner (voice),English,90.0
The Exorcist,María Evoli,Ofelia,Spanish~ Castilian,12.0
The Exorcist,Diana Bracho,,Spanish~ Castilian,12.0
The Exorcist,Tina Romero,Julia,Spanish~ Castilian,12.0
The Exorcist,Norma Lazareno,Señora Ramirez,Spanish~ Castilian,12.0
The Exorcist,Pilar Santacruz,Sandra,Spanish~ Castilian,12.0
The Exorcist,Salvador Sánchez,Señor Ramirez,Spanish~ Castilian,12.0
The Exorcist,Julio Bracho,Padre Victor,Spanish~ Castilian,12.0
The Exorcist,Ramón Medína,Fabian,Spanish~ Castilian,12.0
The Whale,Brendan Fraser,Charlie,English,3.0
The Whale,Sadie Sink,Ellie,English,3.0
The Whale,Hong Chau,Liz,English,3.0
The Whale,Ty Simpkins,Thomas,English,3.0
The Whale,Samantha Morton,Mary,English,3.0
The Whale,Sathya Sridharan,Dan The Pizza Man,English,3.0
The Whale,Jacey Sink,Young Ellie,English,3.0
The Whale,Wilhelm Schalaudek,Liam (uncredited),English,3.0
A Bronx Tale,Robert De Niro,Lorenzo Anello,English,10.0
A Bronx Tale,Chazz Palminteri,Sonny LoSpecchio,English,10.0
A Bronx Tale,Lillo Brancato,Calogero C Anello (Age 17),English,10.0
A Bronx Tale,Francis Capra,Calogero C Anello (Age 9),English,10.0
A Bronx Tale,Taral Hicks,Jane Williams,English,10.0
A Bronx Tale,Kathrine Narducci,Rosina Anello,English,10.0
A Bronx Tale,Clem Caserta,Jimmy Whispers,English,10.0
A Bronx Tale,Alfred Sauchelli Jr.,Bobby Bars,English,10.0
A Bronx Tale,Frank Pietrangolare,Danny K.O.,English,10.0
Top Gun: Maverick,Tom Cruise,Capt. Pete 'Maverick' Mitchell,English,170.0
Top Gun: Maverick,Miles Teller,Lt. Bradley 'Rooster' Bradshaw,English,170.0
Top Gun: Maverick,Jennifer Connelly,Penny Benjamin,English,170.0
Top Gun: Maverick,Jon Hamm,Adm. Beau 'Cyclone' Simpson,English,170.0
Top Gun: Maverick,Glen Powell,Lt. Jake 'Hangman' Seresin,English,170.0
Top Gun: Maverick,Ed Harris,Radm. Chester 'Hammer' Cain,English,170.0
Top Gun: Maverick,Val Kilmer,Adm. Tom 'Iceman' Kazansky,English,170.0
Top Gun: Maverick,Lewis Pullman,Lt. Robert 'Bob' Floyd,English,170.0
Top Gun: Maverick,Charles Parnell,Adm. Solomon 'Warlock' Bates,English,170.0
Avatar,Sam Worthington,Jake Sully,English,237.0
Avatar,Zoe Saldaña,Neytiri,English,237.0
Avatar,Sigourney Weaver,Dr. Grace Augustine,English,237.0
Avatar,Stephen Lang,Colonel Miles Quaritch,English,237.0
Avatar,Michelle Rodriguez,Trudy Chacon,English,237.0
Avatar,Giovanni Ribisi,Parker Selfridge,English,237.0
Avatar,Joel David Moore,Norm Spellman,English,237.0
Avatar,CCH Pounder,Mo'at,English,237.0
Avatar,Wes Studi,Eytukan,English,237.0
Spider-Man: No Way Home,Tom Holland,Peter Parker / Spider-Man,English,200.0
Spider-Man: No Way Home,Zendaya,Michelle 'MJ' Jones,English,200.0
Spider-Man: No Way Home,Benedict Cumberbatch,Stephen Strange / Doctor Strange,English,200.0
Spider-Man: No Way Home,Jacob Batalon,Ned Leeds,English,200.0
Spider-Man: No Way Home,Jon Favreau,Harold 'Happy' Hogan,English,200.0
Spider-Man: No Way Home,Jamie Foxx,Max Dillon / Electro,English,200.0
Spider-Man: No Way Home,Willem Dafoe,Norman Osborn / Green Goblin,English,200.0
Spider-Man: No Way Home,Alfred Molina,Dr. Otto Octavius / Doctor Octopus,English,200.0
Spider-Man: No Way Home,Benedict Wong,Wong,English,200.0
All Quiet on the Western Front,Felix Kammerer,Paul Bäumer,German,20.0
All Quiet on the Western Front,Albrecht Schuch,Stanislaus Kat Katczinsky,German,20.0
All Quiet on the Western Front,Aaron Hilmer,Albert Kropp,German,20.0
All Quiet on the Western Front,Moritz Klaus,Franz Müller,German,20.0
All Quiet on the Western Front,Adrian Grünewald,Ludwig Behm,German,20.0
All Quiet on the Western Front,Edin Hasanović,Tjaden Stackfleet,German,20.0
All Quiet on the Western Front,Daniel Brühl,Matthias Erzberger,German,20.0
All Quiet on the Western Front,Thibault de Montalembert,General Ferdinand Foch,German,20.0
All Quiet on the Western Front,Devid Striesow,General Friedrichs,German,20.0
Avengers: Infinity War,Robert Downey Jr.,Tony Stark / Iron Man,English,300.0
Avengers: Infinity War,Chris Hemsworth,Thor Odinson,English,300.0
Avengers: Infinity War,Mark Ruffalo,Bruce Banner / Hulk,English,300.0
Avengers: Infinity War,Chris Evans,Steve Rogers / Captain America,English,300.0
Avengers: Infinity War,Scarlett Johansson,Natasha Romanoff / Black Widow,English,300.0
Avengers: Infinity War,Benedict Cumberbatch,Stephen Strange / Doctor Strange,English,300.0
Avengers: Infinity War,Tom Holland,Peter Parker / Spider-Man,English,300.0
Avengers: Infinity War,Chadwick Boseman,T'Challa / Black Panther,English,300.0
Avengers: Infinity War,Don Cheadle,James 'Rhodey' Rhodes / War Machine,English,300.0
The Ten Commandments,Charlton Heston,Moses,English,13.5
The Ten Commandments,Yul Brynner,Rameses,English,13.5
The Ten Commandments,Anne Baxter,Nefretiri,English,13.5
The Ten Commandments,Edward G. Robinson,Dathan,English,13.5
The Ten Commandments,Yvonne De Carlo,Sephora,English,13.5
The Ten Commandments,Debra Paget,Lilia,English,13.5
The Ten Commandments,John Derek,Joshua,English,13.5
The Ten Commandments,Cedric Hardwicke,Sethi,English,13.5
The Ten Commandments,Nina Foch,Bithiah,English,13.5
Hacksaw Ridge,Andrew Garfield,Desmond T. Doss,English,40.0
Hacksaw Ridge,Sam Worthington,Captain Glover,English,40.0
Hacksaw Ridge,Vince Vaughn,Sergeant Howell,English,40.0
Hacksaw Ridge,Teresa Palmer,Dorothy Schuttle,English,40.0
Hacksaw Ridge,Luke Bracey,Smitty Ryker,English,40.0
Hacksaw Ridge,Hugo Weaving,Tom Doss,English,40.0
Hacksaw Ridge,Ryan Corr,Lt. Manville,English,40.0
Hacksaw Ridge,Rachel Griffiths,Bertha Doss,English,40.0
Hacksaw Ridge,Richard Roxburgh,Colonel Stelzer,English,40.0
The Batman,Robert Pattinson,Bruce Wayne / The Batman,English,200.0
The Batman,Zoë Kravitz,Selina Kyle / Catwoman,English,200.0
The Batman,Paul Dano,Edward Nashton / The Riddler,English,200.0
The Batman,Jeffrey Wright,Lt. James Gordon,English,200.0
The Batman,John Turturro,Carmine Falcone,English,200.0
The Batman,Peter Sarsgaard,District Attorney Gil Colson,English,200.0
The Batman,Andy Serkis,Alfred Pennyworth,English,200.0
The Batman,Colin Farrell,Oswald 'Oz' Cobblepot / The Penguin,English,200.0
The Batman,Jayme Lawson,Bella Reál,English,200.0
Shrek,Mike Myers,Shrek (voice),English,50.0
Shrek,Eddie Murphy,Donkey (voice),English,50.0
Shrek,Cameron Diaz,Princess Fiona (voice),English,50.0
Shrek,John Lithgow,Lord Farquaad (voice),English,50.0
Shrek,Vincent Cassel,Monsieur Hood (voice),English,50.0
Shrek,Peter Dennis,Ogre Hunter (voice),English,50.0
Shrek,Clive Pearse,Ogre Hunter (voice),English,50.0
Shrek,Jim Cummings,Captain of Guards (voice),English,50.0
Shrek,Bobby Block,Baby Bear (voice),English,50.0
Everything Everywhere All at Once,Michelle Yeoh,Evelyn Wang,English,25.0
Everything Everywhere All at Once,Stephanie Hsu,Joy Wang / Jobu Tupaki,English,25.0
Everything Everywhere All at Once,Ke Huy Quan,Waymond Wang,English,25.0
Everything Everywhere All at Once,James Hong,Gong Gong,English,25.0
Everything Everywhere All at Once,Jamie Lee Curtis,Deirdre Beaubeirdre,English,25.0
Everything Everywhere All at Once,Tallie Medel,Becky Sregor,English,25.0
Everything Everywhere All at Once,Jenny Slate,Debbie the Dog Mom,English,25.0
Everything Everywhere All at Once,Harry Shum Jr.,Chad,English,25.0
Everything Everywhere All at Once,Biff Wiff,Rick,English,25.0
Interstellar,Matthew McConaughey,Joseph Coop Cooper,English,165.0
Interstellar,Anne Hathaway,Dr. Amelia Brand,English,165.0
Interstellar,Jessica Chastain,Murphy Murph Cooper,English,165.0
Interstellar,Bill Irwin,TARS (voice),English,165.0
Interstellar,Ellen Burstyn,Old Murph,English,165.0
Interstellar,Michael Caine,Professor John Brand,English,165.0
Interstellar,Mackenzie Foy,Young Murph,English,165.0
Interstellar,Casey Affleck,Tom Cooper,English,165.0
Interstellar,John Lithgow,Donald,English,165.0
Coraline,Dakota Fanning,Coraline Jones (voice),English,60.0
Coraline,Teri Hatcher,Mel Jones / Other Mother (voice),English,60.0
Coraline,Keith David,Cat (voice),English,60.0
Coraline,Jennifer Saunders,April Spink (voice),English,60.0
Coraline,Ian McShane,Mr. Sergei Alexander Bobinsky / Other Bobinsky (voice),English,60.0
Coraline,Dawn French,Miriam Forcible (voice),English,60.0
Coraline,John Hodgman,Charlie Jones / Other Father (voice),English,60.0
Coraline,Robert Bailey Jr.,Wyborne Wybie Lovat (voice),English,60.0
Coraline,Aankha Neal,Sweet Ghost Girl (voice),English,60.0
Harry Potter and the Goblet of Fire,Daniel Radcliffe,Harry Potter,English,150.0
Harry Potter and the Goblet of Fire,Rupert Grint,Ron Weasley,English,150.0
Harry Potter and the Goblet of Fire,Emma Watson,Hermione Granger,English,150.0
Harry Potter and the Goblet of Fire,Brendan Gleeson,Alastor Mad-Eye Moody,English,150.0
Harry Potter and the Goblet of Fire,Robbie Coltrane,Rubeus Hagrid,English,150.0
Harry Potter and the Goblet of Fire,Robert Pattinson,Cedric Diggory,English,150.0
Harry Potter and the Goblet of Fire,Michael Gambon,Albus Dumbledore,English,150.0
Harry Potter and the Goblet of Fire,David Tennant,Barty Crouch Junior,English,150.0
Harry Potter and the Goblet of Fire,Miranda Richardson,Rita Skeeter,English,150.0
The Avengers,Robert Downey Jr.,Tony Stark / Iron Man,English,225.0
The Avengers,Chris Evans,Steve Rogers / Captain America,English,225.0
The Avengers,Mark Ruffalo,Bruce Banner / The Hulk,English,225.0
The Avengers,Chris Hemsworth,Thor Odinson,English,225.0
The Avengers,Scarlett Johansson,Natasha Romanoff / Black Widow,English,225.0
The Avengers,Jeremy Renner,Clint Barton / Hawkeye,English,225.0
The Avengers,Tom Hiddleston,Loki,English,225.0
The Avengers,Samuel L. Jackson,Nick Fury,English,225.0
The Avengers,Cobie Smulders,Maria Hill,English,225.0
The Wolf of Wall Street,Leonardo DiCaprio,Jordan Belfort,English,100.0
The Wolf of Wall Street,Jonah Hill,Donnie Azoff,English,100.0
The Wolf of Wall Street,Margot Robbie,Naomi Lapaglia,English,100.0
The Wolf of Wall Street,Matthew McConaughey,Mark Hanna,English,100.0
The Wolf of Wall Street,Kyle Chandler,FBI Agent Patrick Denham,English,100.0
The Wolf of Wall Street,Rob Reiner,Max Belfort,English,100.0
The Wolf of Wall Street,Jon Favreau,Manny Riskin,English,100.0
The Wolf of Wall Street,Jean Dujardin,Jean-Jacques Handali,English,100.0
The Wolf of Wall Street,Jon Bernthal,Brad Bodnick,English,100.0
Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe,Harry Potter,English,130.0
Harry Potter and the Prisoner of Azkaban,Rupert Grint,Ron Weasley,English,130.0
Harry Potter and the Prisoner of Azkaban,Emma Watson,Hermione Granger,English,130.0
Harry Potter and the Prisoner of Azkaban,Robbie Coltrane,Rubeus Hagrid,English,130.0
Harry Potter and the Prisoner of Azkaban,Michael Gambon,Albus Dumbledore,English,130.0
Harry Potter and the Prisoner of Azkaban,Gary Oldman,Sirius Black,English,130.0
Harry Potter and the Prisoner of Azkaban,Alan Rickman,Severus Snape,English,130.0
Harry Potter and the Prisoner of Azkaban,Timothy Spall,Peter Pettigrew,English,130.0
Harry Potter and the Prisoner of Azkaban,David Thewlis,Remus Lupin,English,130.0
RRR,N. T. Rama Rao Jr.,Komaram Bheem,Telugu,69.0
RRR,Ram Charan,Alluri Sitarama Raju,Telugu,69.0
RRR,Ajay Devgn,Venkata Rama Raju,Telugu,69.0
RRR,Alia Bhatt,Sita,Telugu,69.0
RRR,Shriya Saran,Sarojini,Telugu,69.0
RRR,Samuthirakani,Venkateshwarulu,Telugu,69.0
RRR,Ray Stevenson,Scott Buxton,Telugu,69.0
RRR,Alison Doody,Cassandra Buxton,Telugu,69.0
RRR,Olivia Morris,Jennifer 'Jenny' Buxton,Telugu,69.0
Avengers: Endgame,Robert Downey Jr.,Tony Stark / Iron Man,English,400.0
Avengers: Endgame,Chris Evans,Steve Rogers / Captain America,English,400.0
Avengers: Endgame,Mark Ruffalo,Bruce Banner / Hulk,English,400.0
Avengers: Endgame,Chris Hemsworth,Thor Odinson,English,400.0
Avengers: Endgame,Scarlett Johansson,Natasha Romanoff / Black Widow,English,400.0
Avengers: Endgame,Jeremy Renner,Clint Barton / Hawkeye,English,400.0
Avengers: Endgame,Don Cheadle,James Rhodes / War Machine,English,400.0
Avengers: Endgame,Paul Rudd,Scott Lang / Ant-Man,English,400.0
Avengers: Endgame,Benedict Cumberbatch,Stephen Strange / Doctor Strange,English,400.0
Spider-Man: Across the Spider-Verse,Shameik Moore,Miles Morales / Spider-Man (voice),English,264.94
Spider-Man: Across the Spider-Verse,Hailee Steinfeld,Gwen Stacy / Spider-Woman (voice),English,264.94
Spider-Man: Across the Spider-Verse,Jake Johnson,Peter B. Parker / Spider-Man (voice),English,264.94
Spider-Man: Across the Spider-Verse,Oscar Isaac,Miguel O'Hara / Spider-Man 2099 (voice),English,264.94
Spider-Man: Across the Spider-Verse,Issa Rae,Jessica Drew / Spider-Woman (voice),English,264.94
Spider-Man: Across the Spider-Verse,Daniel Kaluuya,Hobart 'Hobie' Brown / Spider-Punk (voice),English,264.94
Spider-Man: Across the Spider-Verse,Jason Schwartzman,The Spot (voice),English,264.94
Spider-Man: Across the Spider-Verse,Brian Tyree Henry,Jefferson Davis (voice),English,264.94
Spider-Man: Across the Spider-Verse,Luna Lauren Velez,Rio Morales (voice),English,264.94
Ben-Hur,Charlton Heston,Judah Ben-Hur,English,95.0
Ben-Hur,Haya Harareet,Esther,English,95.0
Ben-Hur,Stephen Boyd,Messala,English,95.0
Ben-Hur,Martha Scott,Miriam,English,95.0
Ben-Hur,Cathy O'Donnell,Tirzah,English,95.0
Ben-Hur,Jack Hawkins,Quintus Arrius,English,95.0
Ben-Hur,Sam Jaffe,Simonides,English,95.0
Ben-Hur,Hugh Griffith,Scheich Ildirim,English,95.0
Ben-Hur,Finlay Currie,Balthasar,English,95.0
Tangled,Mandy Moore,Rapunzel (voice),English,260.0
Tangled,Zachary Levi,Flynn Rider (voice),English,260.0
Tangled,Donna Murphy,Mother Gothel (voice),English,260.0
Tangled,Ron Perlman,Stabbington Brother (voice),English,260.0
Tangled,M.C. Gainey,Captain of the Guard (voice),English,260.0
Tangled,Jeffrey Tambor,Big Nose Thug (voice),English,260.0
Tangled,Brad Garrett,Hook Hand Thug (voice),English,260.0
Tangled,Paul F. Tompkins,Short Thug (voice),English,260.0
Tangled,Richard Kiel,Vlad (voice),English,260.0
Harry Potter and the Deathly Hallows: Part 2,Daniel Radcliffe,Harry Potter,English,125.0
Harry Potter and the Deathly Hallows: Part 2,Rupert Grint,Ron Weasley,English,125.0
Harry Potter and the Deathly Hallows: Part 2,Emma Watson,Hermione Granger,English,125.0
Harry Potter and the Deathly Hallows: Part 2,Ralph Fiennes,Lord Voldemort,English,125.0
Harry Potter and the Deathly Hallows: Part 2,Alan Rickman,Severus Snape,English,125.0
Harry Potter and the Deathly Hallows: Part 2,Helena Bonham Carter,Bellatrix Lestrange,English,125.0
Harry Potter and the Deathly Hallows: Part 2,Maggie Smith,Minerva McGonagall,English,125.0
Harry Potter and the Deathly Hallows: Part 2,Michael Gambon,Albus Dumbledore,English,125.0
Harry Potter and the Deathly Hallows: Part 2,John Hurt,Ollivander,English,125.0
The Help,Emma Stone,Eugenia Skeeter Phelan,English,25.0
The Help,Viola Davis,Aibileen Clark,English,25.0
The Help,Octavia Spencer,Minny Jackson,English,25.0
The Help,Bryce Dallas Howard,Hilly Holbrook,English,25.0
The Help,Jessica Chastain,Celia Foote,English,25.0
The Help,Anna Camp,Jolene French,English,25.0
The Help,Ahna O'Reilly,Elizabeth Leefolt,English,25.0
The Help,Allison Janney,Charlotte Phelan,English,25.0
The Help,Mary Steenburgen,Elain Stein,English,25.0
Zack Snyder's Justice League,Ben Affleck,Bruce Wayne / Batman,English,70.0
Zack Snyder's Justice League,Henry Cavill,Clark Kent / Superman / Kal-El,English,70.0
Zack Snyder's Justice League,Gal Gadot,Diana Prince / Wonder Woman,English,70.0
Zack Snyder's Justice League,Jason Momoa,Arthur Curry / Aquaman,English,70.0
Zack Snyder's Justice League,Ezra Miller,Barry Allen / The Flash,English,70.0
Zack Snyder's Justice League,Ray Fisher,Victor Stone / Cyborg,English,70.0
Zack Snyder's Justice League,Amy Adams,Lois Lane,English,70.0
Zack Snyder's Justice League,Jeremy Irons,Alfred Pennyworth,English,70.0
Zack Snyder's Justice League,Connie Nielsen,Queen Hippolyta,English,70.0
Spider-Man: Into the Spider-Verse,Shameik Moore,Miles Morales / Spider-Man (voice),English,90.0
Spider-Man: Into the Spider-Verse,Jake Johnson,Peter B. Parker / Spider-Man (voice),English,90.0
Spider-Man: Into the Spider-Verse,Hailee Steinfeld,Gwen Stacy / Spider-Woman (voice),English,90.0
Spider-Man: Into the Spider-Verse,Mahershala Ali,Uncle Aaron / Prowler (voice),English,90.0
Spider-Man: Into the Spider-Verse,Brian Tyree Henry,Jefferson Davis (voice),English,90.0
Spider-Man: Into the Spider-Verse,Lily Tomlin,Aunt May (voice),English,90.0
Spider-Man: Into the Spider-Verse,Luna Lauren Velez,Rio Morales (voice),English,90.0
Spider-Man: Into the Spider-Verse,Zoë Kravitz,Mary Jane (voice),English,90.0
Spider-Man: Into the Spider-Verse,John Mulaney,Peter Porker / Spider-Ham (voice),English,90.0
Harry Potter and the Deathly Hallows: Part 1,Daniel Radcliffe,Harry Potter,English,250.0
Harry Potter and the Deathly Hallows: Part 1,Rupert Grint,Ron Weasley,English,250.0
Harry Potter and the Deathly Hallows: Part 1,Emma Watson,Hermione Granger,English,250.0
Harry Potter and the Deathly Hallows: Part 1,Helena Bonham Carter,Bellatrix Lestrange,English,250.0
Harry Potter and the Deathly Hallows: Part 1,Robbie Coltrane,Rubeus Hagrid,English,250.0
Harry Potter and the Deathly Hallows: Part 1,Ralph Fiennes,Lord Voldemort,English,250.0
Harry Potter and the Deathly Hallows: Part 1,Michael Gambon,Albus Dumbledore,English,250.0
Harry Potter and the Deathly Hallows: Part 1,Bill Nighy,Rufus Scrimgeour,English,250.0
Harry Potter and the Deathly Hallows: Part 1,Brendan Gleeson,Alastor Mad-Eye Moody,English,250.0
Control,Sara Mitich,Eileen,English,6.4
Control,George Tchortov,Roger,English,6.4
Control,Evie Loiselle,Eve,English,6.4
Control,Karen LeBlanc,The Administrator,English,6.4
Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,Jack Sparrow,English,140.0
Pirates of the Caribbean: The Curse of the Black Pearl,Orlando Bloom,Will Turner,English,140.0
Pirates of the Caribbean: The Curse of the Black Pearl,Keira Knightley,Elizabeth Swann,English,140.0
Pirates of the Caribbean: The Curse of the Black Pearl,Geoffrey Rush,Hector Barbossa,English,140.0
Pirates of the Caribbean: The Curse of the Black Pearl,Jack Davenport,James Norrington,English,140.0
Pirates of the Caribbean: The Curse of the Black Pearl,Jonathan Pryce,Weatherby Swann,English,140.0
Pirates of the Caribbean: The Curse of the Black Pearl,Lee Arenberg,Pintel,English,140.0
Pirates of the Caribbean: The Curse of the Black Pearl,Mackenzie Crook,Ragetti,English,140.0
Pirates of the Caribbean: The Curse of the Black Pearl,Damian O'Hare,Gillette,English,140.0
Coco,Anthony Gonzalez,Miguel Rivera (voice),English,175.0
Coco,Gael García Bernal,Héctor (voice),English,175.0
Coco,Benjamin Bratt,Ernesto de la Cruz (voice),English,175.0
Coco,Alanna Ubach,Mamá Imelda Rivera (voice),English,175.0
Coco,Renée Victor,Elena Rivera (voice),English,175.0
Coco,Jaime Camil,Papá Enrique Rivera (voice),English,175.0
Coco,Alfonso Arau,Papá Julio Rivera (voice),English,175.0
Coco,Herbert Siguenza,Tío Oscar Rivera / Tío Felipe Rivera (voice),English,175.0
Coco,Lombardo Boyar,Mariachi / Gustavo (voice),English,175.0
Toy Story,Tom Hanks,Woody (voice),English,30.0
Toy Story,Tim Allen,Buzz Lightyear (voice),English,30.0
Toy Story,Don Rickles,Mr. Potato Head (voice),English,30.0
Toy Story,Jim Varney,Slinky Dog (voice),English,30.0
Toy Story,Wallace Shawn,Rex (voice),English,30.0
Toy Story,John Ratzenberger,Hamm (voice),English,30.0
Toy Story,Annie Potts,Bo Peep (voice),English,30.0
Toy Story,John Morris,Andy (voice),English,30.0
Toy Story,Erik von Detten,Sid (voice),English,30.0
Titanic,Leonardo DiCaprio,Jack Dawson,English,200.0
Titanic,Kate Winslet,Rose DeWitt Bukater,English,200.0
Titanic,Billy Zane,Cal Hockley,English,200.0
Titanic,Kathy Bates,Molly Brown,English,200.0
Titanic,Frances Fisher,Ruth DeWitt Bukater,English,200.0
Titanic,Gloria Stuart,Old Rose,English,200.0
Titanic,Victor Garber,Thomas Andrews,English,200.0
Titanic,Bill Paxton,Brock Lovett,English,200.0
Titanic,Bernard Hill,Edward Smith,English,200.0
The Lion King,Matthew Broderick,Simba (voice),English,260.0
The Lion King,James Earl Jones,King Mufasa (voice),English,260.0
The Lion King,Jeremy Irons,Scar (voice),English,260.0
The Lion King,Rowan Atkinson,Zazu the Hornbill (voice),English,260.0
The Lion King,Moira Kelly,Nala (voice),English,260.0
The Lion King,Whoopi Goldberg,Shenzi the Hyena (voice),English,260.0
The Lion King,Cheech Marin,Banzai the Hyena (voice),English,260.0
The Lion King,Jim Cummings,ED the Hyena (voice) / Scar (singing voice),English,260.0
The Lion King,Robert Guillaume,Rafiki (voice),English,260.0
Zootopia,Jason Bateman,Nick Wilde (voice),English,150.0
Zootopia,Ginnifer Goodwin,Judy Hopps (voice),English,150.0
Zootopia,Idris Elba,Chief Bogo (voice),English,150.0
Zootopia,Jenny Slate,Assistant Mayor Dawn Bellwether (voice),English,150.0
Zootopia,Nate Torrence,Officer Benjamin Clawhauser (voice),English,150.0
Zootopia,Bonnie Hunt,Bonnie Hopps (voice),English,150.0
Zootopia,Don Lake,Stu Hopps (voice),English,150.0
Zootopia,Tommy Chong,Yax (voice),English,150.0
Zootopia,J.K. Simmons,Mayor Leodore Lionheart (voice),English,150.0
Thor: Ragnarok,Chris Hemsworth,Thor Odinson,English,180.0
Thor: Ragnarok,Tom Hiddleston,Loki,English,180.0
Thor: Ragnarok,Cate Blanchett,Hela,English,180.0
Thor: Ragnarok,Tessa Thompson,Scrapper 142 / Valkyrie,English,180.0
Thor: Ragnarok,Jeff Goldblum,En Dwi Gast / Grandmaster,English,180.0
Thor: Ragnarok,Idris Elba,Heimdall,English,180.0
Thor: Ragnarok,Karl Urban,Skurge / Executioner,English,180.0
Thor: Ragnarok,Mark Ruffalo,Bruce Banner / Hulk,English,180.0
Thor: Ragnarok,Anthony Hopkins,Odin,English,180.0
Ratatouille,Patton Oswalt,Remy (voice),English,150.0
Ratatouille,Ian Holm,Skinner (voice),English,150.0
Ratatouille,Lou Romano,Linguini (voice),English,150.0
Ratatouille,Brian Dennehy,Django (voice),English,150.0
Ratatouille,Peter Sohn,Emile (voice),English,150.0
Ratatouille,Peter O'Toole,Anton Ego (voice),English,150.0
Ratatouille,Brad Garrett,Auguste Gusteau (voice),English,150.0
Ratatouille,Janeane Garofalo,Colette (voice),English,150.0
Ratatouille,Will Arnett,Horst (voice),English,150.0
Deadpool,Ryan Reynolds,Wade Wilson / Deadpool,English,58.0
Deadpool,Morena Baccarin,Vanessa,English,58.0
Deadpool,Ed Skrein,Ajax,English,58.0
Deadpool,T.J. Miller,Weasel,English,58.0
Deadpool,Gina Carano,Angel Dust,English,58.0
Deadpool,Leslie Uggams,Blind Al,English,58.0
Deadpool,Brianna Hildebrand,Negasonic Teenage Warhead,English,58.0
Deadpool,Karan Soni,Dopinder,English,58.0
Deadpool,Jed Rees,Recruiter,English,58.0
Your Name.,Ryunosuke Kamiki,Taki Tachibana (voice),Japanese,2.94
Your Name.,Mone Kamishiraishi,Mitsuha Miyamizu (voice),Japanese,2.94
Your Name.,Ryo Narita,Katsuhiko Teshigawara (voice),Japanese,2.94
Your Name.,Aoi Yuki,Sayaka Natori (voice),Japanese,2.94
Your Name.,Nobunaga Shimazaki,Tsukasa Fujii (voice),Japanese,2.94
Your Name.,Kaito Ishikawa,Shinta Takagi (voice),Japanese,2.94
Your Name.,Kanon Tani,Yotsuha Miyamizu (voice),Japanese,2.94
Your Name.,Masaki Terasoma,Toshiki Miyamizu (voice),Japanese,2.94
Your Name.,Sayaka Ohara,Futaha Miyamizu (voice),Japanese,2.94
The Godfather,Marlon Brando,Vito Corleone,English,7.0
The Godfather,Al Pacino,Michael Corleone,English,7.0
The Godfather,James Caan,Sonny Corleone,English,7.0
The Godfather,Richard S. Castellano,Peter Clemenza,English,7.0
The Godfather,Robert Duvall,Tom Hagen,English,7.0
The Godfather,Sterling Hayden,Captain McCluskey,English,7.0
The Godfather,John Marley,Jack Woltz,English,7.0
The Godfather,Richard Conte,Emilio Barzini,English,7.0
The Godfather,Diane Keaton,Kay Adams-Corleone,English,7.0
Mulan,Ming-Na Wen,Mulan (voice),English,200.0
Mulan,Eddie Murphy,Mushu (voice),English,200.0
Mulan,BD Wong,Shang (voice),English,200.0
Mulan,Miguel Ferrer,Shan-Yu (voice),English,200.0
Mulan,Harvey Fierstein,Yao (voice),English,200.0
Mulan,Freda Foh Shen,Fa Li (voice),English,200.0
Mulan,June Foray,Grandmother Fa (voice),English,200.0
